Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;V5Z;V5B;V11Z;V11B;V51Z;V51B;V111Z;V111B
27.02.2024;01:00;A 85;1;0;0;0;0;0;0;1;2;0;0;1;1
27.02.2024;00:59;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:58;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:57;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:56;A 85;1;0;0;0;0;0;0;1;1;0;0;2;2
27.02.2024;00:55;A 85;1;0;0;0;0;0;0;1;2;0;0;1;2
27.02.2024;00:54;A 85;1;0;0;0;0;0;0;3;3;0;0;2;3
27.02.2024;00:53;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:52;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:51;A 85;1;0;0;0;0;0;0;2;2;0;0;1;1
27.02.2024;00:50;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:49;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:48;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:47;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:46;A 85;1;0;0;0;0;0;0;1;1;0;0;1;1
27.02.2024;00:45;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:44;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:43;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:42;A 85;1;0;0;0;0;0;0;2;2;0;0;1;1
27.02.2024;00:41;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:40;A 85;1;0;0;0;0;0;0;0;0;0;0;0;1
27.02.2024;00:39;A 85;1;0;0;0;0;1;2;1;1;1;2;1;0
27.02.2024;00:38;A 85;1;0;0;0;0;0;0;1;1;0;0;1;2
27.02.2024;00:37;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:36;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:35;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:34;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:33;A 85;1;0;0;0;0;1;1;2;2;1;1;1;1
27.02.2024;00:32;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:31;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:30;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:29;A 85;1;0;0;0;0;2;5;2;2;2;3;1;1
27.02.2024;00:28;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:27;A 85;1;0;0;0;0;2;3;0;0;2;3;0;0
27.02.2024;00:26;A 85;1;0;0;0;0;0;0;2;2;0;0;1;2
27.02.2024;00:25;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:24;A 85;1;0;0;0;0;1;1;1;1;1;1;1;1
27.02.2024;00:23;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:22;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:21;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:20;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:19;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:18;A 85;1;0;0;0;0;2;2;1;1;2;3;1;2
27.02.2024;00:17;A 85;1;0;0;0;0;0;0;1;1;0;0;1;1
27.02.2024;00:16;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:15;A 85;1;0;0;0;0;0;0;2;2;0;0;1;1
27.02.2024;00:14;A 85;1;0;0;0;0;1;1;0;0;1;1;0;0
27.02.2024;00:13;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:12;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:11;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:10;A 85;1;0;0;0;0;1;1;2;2;1;1;2;3
27.02.2024;00:09;A 85;1;0;0;0;0;0;0;1;1;0;0;1;2
27.02.2024;00:08;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:07;A 85;1;0;0;0;0;0;0;1;1;0;0;1;1
27.02.2024;00:06;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:05;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:04;A 85;1;0;0;0;0;0;0;3;2;0;0;2;3
27.02.2024;00:03;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
27.02.2024;00:02;A 85;1;0;0;0;0;1;1;0;0;1;1;0;0
27.02.2024;00:01;A 85;1;0;0;0;0;1;1;0;0;1;1;0;0
27.02.2024;00:00;A 85;1;0;0;0;0;0;0;3;3;0;0;2;3
26.02.2024;23:59;A 85;1;0;0;0;0;0;0;1;1;0;0;1;1
26.02.2024;23:58;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:57;A 85;1;0;0;0;0;2;2;0;0;2;3;0;0
26.02.2024;23:56;A 85;1;0;0;0;0;1;1;3;3;1;1;2;3
26.02.2024;23:55;A 85;1;0;0;0;0;0;0;0;0;0;0;1;1
26.02.2024;23:54;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:53;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:52;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:51;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:50;A 85;1;0;0;0;0;0;0;3;3;0;0;2;3
26.02.2024;23:49;A 85;1;0;0;0;0;1;1;0;0;1;2;0;0
26.02.2024;23:48;A 85;1;0;0;0;0;0;0;1;1;0;0;1;2
26.02.2024;23:47;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:46;A 85;1;0;0;0;0;0;0;3;4;0;0;2;3
26.02.2024;23:45;A 85;1;0;0;0;0;0;0;2;2;0;0;1;1
26.02.2024;23:44;A 85;1;0;0;0;0;2;2;0;0;2;2;0;0
26.02.2024;23:43;A 85;1;0;0;0;0;1;1;0;0;1;2;0;0
26.02.2024;23:42;A 85;1;0;0;0;0;2;4;2;2;2;4;1;2
26.02.2024;23:41;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:40;A 85;1;0;0;0;0;1;1;0;0;1;2;0;0
26.02.2024;23:39;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:38;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:37;A 85;1;0;0;0;0;0;0;1;1;0;0;0;0
26.02.2024;23:36;A 85;1;0;0;0;0;0;0;2;2;0;0;1;1
26.02.2024;23:35;A 85;1;0;0;0;0;2;4;1;2;2;4;1;2
26.02.2024;23:34;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:33;A 85;1;0;0;0;0;1;1;2;2;1;1;1;2
26.02.2024;23:32;A 85;1;0;0;0;0;0;0;2;2;0;0;2;3
26.02.2024;23:31;A 85;1;0;0;0;0;1;1;6;7;1;1;4;7
26.02.2024;23:30;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:29;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:28;A 85;1;0;0;0;0;0;0;2;4;0;0;3;7
26.02.2024;23:27;A 85;1;0;0;0;0;0;0;2;2;0;0;2;4
26.02.2024;23:26;A 85;1;0;0;0;0;0;0;1;1;0;0;2;2
26.02.2024;23:25;A 85;1;0;0;0;0;0;0;0;0;0;0;1;1
26.02.2024;23:24;A 85;1;0;0;0;0;1;1;0;1;1;1;1;1
26.02.2024;23:23;A 85;1;0;0;0;0;0;0;1;1;0;0;0;0
26.02.2024;23:22;A 85;1;0;0;0;0;1;1;3;3;1;2;2;3
26.02.2024;23:21;A 85;1;0;0;0;0;0;0;1;1;0;0;1;1
26.02.2024;23:20;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:19;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;23:18;A 85;1;0;0;0;0;1;1;0;0;1;1;0;1
26.02.2024;23:17;A 85;1;0;0;0;0;0;0;2;3;0;0;2;2
26.02.2024;23:16;A 85;1;0;0;0;0;0;0;4;3;0;0;3;4
26.02.2024;23:15;A 85;1;0;0;0;0;1;1;0;0;1;1;0;0
26.02.2024;23:14;A 85;1;0;0;0;0;3;3;4;5;3;4;3;4
26.02.2024;23:13;A 85;1;0;0;0;0;1;1;0;0;1;1;0;0
26.02.2024;23:12;A 85;1;0;0;0;0;0;0;3;3;0;0;3;5
26.02.2024;23:11;A 85;1;0;0;0;0;3;4;1;1;3;4;1;2
26.02.2024;23:10;A 85;1;0;0;0;0;0;0;1;1;0;0;1;1
26.02.2024;23:09;A 85;1;0;0;0;0;1;1;4;3;1;1;3;6
26.02.2024;23:08;A 85;1;0;0;0;0;1;1;3;3;1;2;2;3
26.02.2024;23:07;A 85;1;0;0;0;0;0;1;1;1;1;1;1;1
26.02.2024;23:06;A 85;1;0;0;0;0;2;2;0;0;1;1;0;0
