Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V52Z;V52B;V53Z;V53B;V111Z;V111B;V112Z;V112B;TF35Z;TF35B;TB35Z;TB35B;TF36Z;TF36B;TB36Z;TB36B
12.04.2024;01:14;A 89;1;0;0;2;7;0;0;1;3;1;4;0;0;0;0;0;0;0;0
11.04.2024;23:56;A 89;1;0;0;3;6;0;0;1;4;1;5;0;0;0;0;0;0;0;0
11.04.2024;23:55;A 89;1;2;5;1;7;0;0;1;6;1;11;0;0;0;0;0;0;0;0
11.04.2024;23:54;A 89;1;2;4;1;0;0;0;2;14;1;4;0;0;0;0;0;0;0;0
11.04.2024;23:53;A 89;1;0;0;0;0;2;4;0;0;1;1;0;0;0;0;0;0;0;0
11.04.2024;23:52;A 89;1;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0
11.04.2024;23:51;A 89;1;0;0;1;9;0;0;1;7;0;1;0;0;0;0;0;0;0;0
11.04.2024;18:43;A 89;1;2;23;3;13;3;13;1;45;2;48;0;0;0;0;1;1;0;0
11.04.2024;18:42;A 89;1;1;0;2;13;1;4;4;45;1;22;1;1;0;0;1;1;0;0
11.04.2024;18:41;A 89;1;2;19;2;21;1;4;3;29;2;7;0;0;0;0;0;0;0;0
11.04.2024;18:40;A 89;1;2;50;2;68;1;67;1;73;1;17;1;1;0;0;0;0;0;0
11.04.2024;18:39;A 89;1;0;0;2;8;0;0;5;36;4;23;0;0;0;0;0;0;0;0
11.04.2024;18:38;A 89;1;2;22;3;64;3;12;2;74;2;14;0;0;0;0;0;0;0;0
11.04.2024;06:20;A 89;1;3;12;3;26;0;0;2;8;0;0;0;0;0;0;0;0;0;0
11.04.2024;06:19;A 89;1;2;23;2;14;1;5;3;13;1;15;0;0;0;0;0;0;0;0
11.04.2024;06:18;A 89;1;3;17;4;16;1;3;0;0;4;10;0;0;0;0;0;0;0;0
11.04.2024;06:17;A 89;1;6;33;2;12;0;0;3;21;0;5;0;0;0;0;0;0;0;0
11.04.2024;06:16;A 89;1;0;0;2;8;0;0;2;14;1;8;0;0;0;0;0;0;0;0
11.04.2024;05:40;A 89;1;3;8;4;10;0;0;0;0;3;11;0;0;0;0;0;0;0;0
