Datum;Uhrzeit;Bezeichnung;Intervall;Anf_35Z;Anf_35B
12.04.2024;01:15;A145;1;0;0
11.04.2024;23:57;A145;1;0;0
11.04.2024;23:56;A145;1;0;0
11.04.2024;23:55;A145;1;0;0
11.04.2024;23:54;A145;1;0;0
11.04.2024;23:53;A145;1;0;0
11.04.2024;23:52;A145;1;0;0
11.04.2024;18:44;A145;1;0;0
11.04.2024;18:43;A145;1;0;0
11.04.2024;18:42;A145;1;0;0
11.04.2024;18:41;A145;1;0;0
11.04.2024;18:40;A145;1;0;0
11.04.2024;18:39;A145;1;0;0
11.04.2024;06:21;A145;1;0;0
11.04.2024;06:20;A145;1;0;0
11.04.2024;06:19;A145;1;0;0
11.04.2024;06:18;A145;1;0;0
11.04.2024;06:17;A145;1;0;0
11.04.2024;05:41;A145;1;0;0
