Datum;Uhrzeit;Bezeichnung;Intervall;V5Z;V5B;V11Z;V11B;V12Z;V12B;T35_sZ;T35_sB;T35_bZ;T35_bB;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B
13.04.2024;01:58;A173;1;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;01:53;A173;1;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2
13.04.2024;01:44;A173;1;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;01:30;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;01:23;A173;1;2;8;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;01:14;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;01:13;A173;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;01:07;A173;1;1;12;0;0;1;37;0;0;0;0;1;2;1;2;1;2;0;0;0;0;0;0
13.04.2024;00:35;A173;1;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2024;00:00;A173;1;3;10;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;23:56;A173;1;3;14;6;13;3;5;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2
12.04.2024;23:25;A173;1;1;6;3;3;1;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
12.04.2024;23:14;A173;1;2;13;2;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;23:08;A173;1;1;11;2;4;3;44;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0
12.04.2024;22:58;A173;1;2;16;2;7;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;22:45;A173;1;3;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;22:15;A173;1;4;7;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;22:11;A173;1;2;14;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;22:04;A173;1;0;0;2;7;0;0;2;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;21:40;A173;1;3;29;6;28;2;4;2;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0
12.04.2024;21:23;A173;1;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0
