Datum;Uhrzeit;Bezeichnung;Intervall;Fg35_T1_T2Z;Fg35_T1_T2B
14.04.2024;08:55;A105;1;0;0
14.04.2024;08:54;A105;1;0;0
14.04.2024;08:53;A105;1;1;2
14.04.2024;08:52;A105;1;0;0
14.04.2024;08:03;A105;1;0;0
14.04.2024;08:02;A105;1;0;0
14.04.2024;08:01;A105;1;0;0
14.04.2024;08:00;A105;1;0;0
14.04.2024;07:11;A105;1;0;0
14.04.2024;07:10;A105;1;0;0
14.04.2024;07:09;A105;1;0;0
14.04.2024;07:08;A105;1;0;0
14.04.2024;06:19;A105;1;0;0
14.04.2024;06:18;A105;1;0;0
14.04.2024;06:17;A105;1;0;0
14.04.2024;06:16;A105;1;0;0
14.04.2024;03:41;A105;1;0;0
