Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B
15.04.2024;00:51;A139;1;0;0;0;0
14.04.2024;17:47;A139;1;0;0;2;7
14.04.2024;15:07;A139;1;0;0;0;0
14.04.2024;08:55;A139;1;0;0;0;0
14.04.2024;08:54;A139;1;0;0;0;0
14.04.2024;08:53;A139;1;0;0;0;0
14.04.2024;08:52;A139;1;0;0;0;0
14.04.2024;08:03;A139;1;0;0;0;0
14.04.2024;08:02;A139;1;0;0;0;0
14.04.2024;08:01;A139;1;0;0;0;0
14.04.2024;08:00;A139;1;0;0;0;0
14.04.2024;07:11;A139;1;0;0;0;0
14.04.2024;07:10;A139;1;0;0;0;0
14.04.2024;07:09;A139;1;0;0;0;0
14.04.2024;07:08;A139;1;0;0;0;0
14.04.2024;06:19;A139;1;0;0;0;0
14.04.2024;06:18;A139;1;0;0;0;0
14.04.2024;06:17;A139;1;0;0;0;0
14.04.2024;06:16;A139;1;0;0;0;0
14.04.2024;03:41;A139;1;0;0;0;0
