Datum;Uhrzeit;Bezeichnung;Intervall;T1_sZ;T1_sB;T1_bZ;T1_bB;T2_sZ;T2_sB;T2_bZ;T2_bB
16.04.2024;01:54;A171;1;0;0;0;0;0;0;0;0
16.04.2024;01:37;A171;1;0;0;0;0;0;0;0;0
16.04.2024;01:34;A171;1;0;0;0;0;0;0;0;0
16.04.2024;01:33;A171;1;0;0;0;0;0;0;0;0
16.04.2024;01:28;A171;1;0;0;0;0;0;0;0;0
16.04.2024;01:20;A171;1;0;0;0;0;0;0;0;0
16.04.2024;01:14;A171;1;0;0;0;0;0;0;0;0
16.04.2024;01:04;A171;1;0;0;0;0;0;0;0;0
16.04.2024;00:57;A171;1;0;0;0;0;0;0;0;0
16.04.2024;00:53;A171;1;0;0;0;0;0;0;0;0
16.04.2024;00:47;A171;1;0;0;0;0;0;0;0;0
16.04.2024;00:33;A171;1;0;0;0;0;0;0;0;0
16.04.2024;00:25;A171;1;0;0;0;0;0;0;0;0
16.04.2024;00:06;A171;1;0;0;0;0;0;0;0;0
15.04.2024;23:55;A171;1;0;0;0;0;0;0;0;0
15.04.2024;23:42;A171;1;0;0;0;0;0;0;0;0
15.04.2024;23:32;A171;1;0;0;0;0;0;0;0;0
15.04.2024;23:26;A171;1;0;0;0;0;0;0;0;0
15.04.2024;23:10;A171;1;0;0;0;0;0;0;0;0
15.04.2024;23:04;A171;1;0;0;0;0;0;0;0;0
15.04.2024;22:58;A171;1;0;0;0;0;0;0;0;0
15.04.2024;22:16;A171;1;0;0;0;0;0;0;0;0
15.04.2024;22:08;A171;1;0;0;0;0;0;0;0;0
15.04.2024;21:45;A171;1;0;0;0;0;0;0;0;0
15.04.2024;21:24;A171;1;0;0;0;0;0;0;0;0
15.04.2024;21:21;A171;1;0;0;0;0;0;0;0;0
15.04.2024;21:14;A171;1;0;0;0;0;0;0;0;0
15.04.2024;20:40;A171;1;0;0;0;0;0;0;0;0
15.04.2024;20:33;A171;1;0;0;0;0;0;0;0;0
15.04.2024;20:23;A171;1;0;0;0;0;0;0;0;0
15.04.2024;19:53;A171;1;0;0;0;0;0;0;0;0
15.04.2024;19:42;A171;1;0;0;0;0;0;0;0;0
15.04.2024;19:37;A171;1;0;0;0;0;0;0;0;0
15.04.2024;19:11;A171;1;0;0;0;0;0;0;0;0
15.04.2024;18:49;A171;1;0;0;0;0;0;0;0;0
15.04.2024;18:37;A171;1;0;0;0;0;0;0;0;0
15.04.2024;18:14;A171;1;0;0;0;0;0;0;0;0
15.04.2024;18:09;A171;1;0;0;0;0;0;0;0;0
15.04.2024;17:59;A171;1;0;0;0;0;0;0;0;0
15.04.2024;17:42;A171;1;0;0;0;0;0;0;0;0
15.04.2024;17:11;A171;1;0;0;0;0;1;1;1;2
15.04.2024;16:56;A171;1;0;0;0;0;0;0;0;0
15.04.2024;16:33;A171;1;0;0;0;0;0;0;0;0
15.04.2024;16:17;A171;1;0;0;0;0;0;0;0;0
15.04.2024;16:11;A171;1;0;0;0;0;0;0;0;0
15.04.2024;15:54;A171;1;0;0;0;0;0;0;0;0
15.04.2024;15:43;A171;1;0;0;0;0;0;0;0;0
15.04.2024;15:38;A171;1;0;0;0;0;0;0;0;0
15.04.2024;15:18;A171;1;0;0;0;0;0;0;0;0
15.04.2024;15:06;A171;1;0;0;0;0;0;0;0;0
15.04.2024;14:47;A171;1;0;0;0;0;0;0;0;0
15.04.2024;14:24;A171;1;0;0;0;0;0;0;0;0
15.04.2024;14:16;A171;1;0;0;0;0;0;0;0;0
15.04.2024;13:54;A171;1;0;0;0;0;0;0;0;0
15.04.2024;13:48;A171;1;0;0;0;0;0;0;0;0
15.04.2024;13:32;A171;1;0;0;0;0;0;0;0;0
15.04.2024;13:08;A171;1;0;0;0;0;0;0;0;0
15.04.2024;13:01;A171;1;0;0;0;0;0;0;0;0
15.04.2024;12:46;A171;1;0;0;0;0;0;0;0;0
15.04.2024;12:39;A171;1;0;0;0;0;0;0;0;0
15.04.2024;11:59;A171;1;0;0;0;0;0;0;0;0
15.04.2024;11:56;A171;1;0;0;0;0;0;0;0;0
15.04.2024;11:47;A171;1;0;0;0;0;0;0;0;0
15.04.2024;11:34;A171;1;0;0;0;0;0;0;0;0
15.04.2024;11:19;A171;1;0;0;0;0;0;0;0;0
15.04.2024;11:04;A171;1;0;0;0;0;0;0;0;0
15.04.2024;10:43;A171;1;0;0;0;0;0;0;0;0
15.04.2024;10:39;A171;1;0;0;0;0;0;0;0;0
15.04.2024;10:20;A171;1;0;0;0;0;0;0;0;0
15.04.2024;10:12;A171;1;0;0;0;0;0;0;0;0
15.04.2024;09:37;A171;1;0;0;0;0;0;0;0;0
15.04.2024;07:56;A171;1;0;0;0;0;0;0;0;0
15.04.2024;06:58;A171;1;0;0;0;0;0;0;0;0
15.04.2024;06:57;A171;1;0;0;0;0;0;0;0;0
15.04.2024;06:13;A171;1;0;0;0;0;0;0;0;0
15.04.2024;05:25;A171;1;0;0;0;0;0;0;0;0
15.04.2024;05:16;A171;1;0;0;0;0;0;0;0;0
15.04.2024;05:12;A171;1;0;0;0;0;0;0;0;0
15.04.2024;04:39;A171;1;0;0;0;0;0;0;0;0
15.04.2024;04:26;A171;1;0;0;0;0;0;0;0;0
15.04.2024;04:04;A171;1;0;0;0;0;0;0;0;0
15.04.2024;03:42;A171;1;0;0;0;0;0;0;0;0
15.04.2024;03:14;A171;1;0;0;0;0;0;0;0;0
15.04.2024;02:51;A171;1;0;0;0;0;0;0;0;0
15.04.2024;02:48;A171;1;0;0;0;0;0;0;0;0
