Datum;Uhrzeit;Bezeichnung;Intervall;TF32Z;TF32B;TBS32Z;TBS32B;MP11Z;MP11B;MP12Z;MP12B;MP13Z;MP13B;MP51Z;MP51B;MP52Z;MP52B;MP53Z;MP53B;ST51Z;ST51B;ST55Z;ST55B
17.04.2024;01:33;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:32;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:31;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:30;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:29;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:28;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:14;A112;1;0;0;0;0;1;2;1;2;2;3;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:13;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:12;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;01:11;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:22;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:21;A112;1;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:20;A112;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:19;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.04.2024;00:07;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:16;A112;1;1;3;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:15;A112;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
16.04.2024;19:14;A112;1;1;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0
16.04.2024;19:13;A112;1;6;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:12;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:11;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;19:09;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:15;A112;1;0;0;0;0;1;2;1;2;0;0;0;0;1;2;1;2;0;0;0;0
16.04.2024;18:14;A112;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
16.04.2024;18:13;A112;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;18:12;A112;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;17:57;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;16:03;A112;1;1;5;3;1;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0
16.04.2024;15:48;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:44;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:26;A112;1;2;3;3;2;0;0;0;0;1;2;0;0;1;2;1;2;0;0;0;0
16.04.2024;15:25;A112;1;0;0;0;0;1;2;1;2;0;0;1;2;0;0;0;0;0;0;0;0
16.04.2024;15:24;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:23;A112;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:22;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;15:21;A112;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.04.2024;09:55;A112;1;0;0;0;0;1;2;0;0;0;0;0;0;1;2;1;2;0;0;0;0
