Datum;Uhrzeit;Bezeichnung;Intervall;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;TFWZ;TFWB
17.04.2024;01:32;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;01:31;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;01:30;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;01:29;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;01:28;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;01:27;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;01:13;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;01:12;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;01:11;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;01:10;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;00:21;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;00:20;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;00:19;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;00:18;A130;1;0;0;0;0;0;0;0;0;;
17.04.2024;00:06;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;19:15;A130;1;0;0;0;0;2;41;0;0;;
16.04.2024;19:14;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;19:13;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;19:12;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;19:11;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;19:10;A130;1;4;5;0;0;0;0;0;0;;
16.04.2024;19:08;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;18:14;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;18:13;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;18:12;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;18:11;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;17:56;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;16:02;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;15:47;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;15:43;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;15:25;A130;1;1;0;0;0;2;0;0;0;;
16.04.2024;15:24;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;15:23;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;15:22;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;15:21;A130;1;0;0;1;1;0;0;1;2;;
16.04.2024;15:20;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;12:57;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;09:54;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;09:26;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;07:14;A130;1;0;0;0;0;0;0;0;0;;
16.04.2024;04:07;A130;1;0;0;0;0;0;0;0;0;;
