Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D43Z;D43B;D44Z;D44B;HH51_M1_4501Z;HH51_M1_4501B;AH51_M2_4502Z;AH51_M2_4502B;HH55_M3_2137Z;HH55_M3_2137B;AH55_M4_2138Z;AH55_M4_2138B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B;D10Z;D10B;21Z;21B;22Z;22B;23Z;23B;24Z;24B;25Z;25B;26Z;26B;27Z;27B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
08.05.2024;20:01;A 13;1;0;100;0;100;1;79;1;63;0;98;2;27;0;0;2;1;0;57;0;0;3;94;1;92;0;0;0;0;1;2;0;0;0;0;0;0;0;0;3;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;20:00;A 13;1;0;100;0;100;1;93;9;12;6;61;2;15;0;0;1;1;1;83;1;1;6;17;1;68;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:59;A 13;1;0;100;0;100;3;64;0;0;3;3;2;47;3;6;4;43;0;86;4;2;7;53;2;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:58;A 13;1;0;100;0;100;1;1;2;7;2;2;2;72;4;8;3;5;3;68;0;0;10;76;1;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:57;A 13;1;0;100;0;100;0;0;3;7;3;3;1;30;2;6;4;76;0;100;0;0;10;62;3;93;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:56;A 13;1;0;100;0;100;1;35;4;38;3;6;2;60;1;1;4;81;1;8;3;4;8;80;6;77;0;0;0;0;0;0;1;2;0;0;0;0;0;0;7;9;0;0;1;2;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:55;A 13;1;0;100;0;100;1;84;2;3;2;73;2;73;1;2;8;40;0;0;1;1;8;82;1;69;0;0;0;0;1;2;0;0;1;2;0;0;0;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:54;A 13;1;0;100;0;100;0;82;4;26;4;20;2;48;1;1;3;4;0;0;3;3;14;70;5;61;1;1;1;2;0;0;1;2;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:53;A 13;1;0;100;0;100;2;68;3;66;3;6;1;80;1;2;4;16;0;0;1;1;2;50;2;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;1;2;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:52;A 13;1;0;100;0;100;1;80;2;3;0;67;0;65;1;1;1;4;2;39;2;6;6;82;1;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:51;A 13;1;0;100;0;100;1;81;4;21;5;55;2;24;1;2;3;5;1;82;0;0;8;81;1;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:50;A 13;1;0;100;0;100;1;57;2;4;4;17;0;0;2;3;3;72;2;28;1;2;4;63;2;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:49;A 13;1;0;100;0;100;1;67;7;36;4;7;0;0;3;6;5;17;1;39;1;1;3;6;1;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:48;A 13;1;0;100;0;100;0;81;8;9;1;24;0;16;1;1;0;0;1;31;3;2;11;28;4;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:47;A 13;1;0;100;0;100;2;63;10;65;5;18;1;47;2;2;6;8;1;1;0;0;3;52;6;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:46;A 13;1;0;100;0;100;1;92;5;73;4;6;2;72;0;0;0;0;2;32;2;2;8;77;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:45;A 13;1;0;100;0;100;1;84;7;27;5;8;4;85;1;1;3;6;0;0;1;0;10;42;2;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:44;A 13;1;0;100;0;100;4;60;2;77;1;2;0;100;0;0;3;4;0;0;1;0;5;45;6;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:43;A 13;1;0;100;0;100;0;100;10;50;2;69;4;31;0;3;1;19;0;0;1;1;9;82;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:42;A 13;1;0;100;0;100;3;93;5;10;6;75;2;23;3;5;3;23;0;0;0;0;5;85;4;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:41;A 13;1;0;100;0;100;1;23;2;3;4;5;1;74;1;1;4;12;2;91;4;6;0;100;4;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:40;A 13;1;0;100;0;100;0;0;1;2;4;17;2;64;1;2;3;7;4;66;0;0;8;78;0;100;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:39;A 13;1;0;100;0;100;0;0;8;36;10;31;3;38;1;1;1;1;1;86;1;0;17;39;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:38;A 13;1;0;100;0;100;3;44;3;8;3;74;0;0;4;21;7;53;3;19;2;3;0;100;1;15;0;11;0;0;0;0;0;0;1;2;0;0;0;0;3;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:37;A 13;1;0;100;0;100;0;100;2;67;1;1;2;71;0;0;4;13;2;36;1;1;8;79;1;94;1;94;0;0;0;0;1;2;0;0;0;0;0;0;4;6;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:36;A 13;1;0;100;0;100;3;90;7;19;6;7;3;23;0;0;1;2;1;23;1;1;6;29;4;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;1;2;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:35;A 13;1;0;100;0;100;1;43;1;2;1;1;1;75;0;0;7;8;1;87;1;0;6;13;4;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:34;A 13;1;0;100;0;100;0;0;2;92;3;38;3;89;1;2;6;16;3;89;3;71;5;84;3;76;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:33;A 13;1;0;100;0;100;0;82;10;71;5;29;3;34;0;0;1;6;2;94;1;3;6;26;2;59;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;;;;;;;;;;;;;;;;;;;;
