Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D31Z;D31B;D41Z;D41B;D42Z;D42B;H57_M1_1137Z;H57_M1_1137B;A57_M2_1138Z;A57_M2_1138B;H53_M3_3006Z;H53_M3_3006B;A53_M5_3007Z;A53_M5_3007B;H53_M6_1140Z;H53_M6_1140B;D43Z;D43B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
31.05.2024;09:08;A  5;1;1;0;2;72;0;28;0;100;3;32;7;8;2;3;0;0;1;2;;;1;2;0;0;;;0;0;;;;;;
31.05.2024;09:06;A  5;1;1;1;2;43;0;0;0;100;1;2;7;9;1;2;0;0;1;2;;;2;3;0;0;;;0;0;;;;;;
31.05.2024;09:04;A  5;1;0;0;1;25;0;0;0;100;2;59;6;44;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
31.05.2024;09:03;A  5;1;0;0;3;17;0;0;0;100;2;3;4;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
31.05.2024;09:01;A  5;1;0;0;2;2;0;0;0;100;2;1;6;8;1;2;0;0;2;3;;;0;0;0;0;;;0;0;;;;;;
31.05.2024;09:00;A  5;1;1;64;0;0;1;2;0;100;2;17;2;10;1;2;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
31.05.2024;08:59;A  5;1;0;0;1;1;1;6;0;100;2;19;7;11;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
31.05.2024;08:58;A  5;1;0;0;1;2;0;0;0;100;4;5;5;5;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
31.05.2024;08:57;A  5;1;2;3;1;6;0;0;0;100;3;4;6;7;1;2;0;0;2;3;;;1;2;0;0;;;0;0;;;;;;
31.05.2024;03:37;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
