Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V321Z;V321B;TF32Z;TF32B;TB32Z;TB32B;TF32aZ;TF32aB;TB32aZ;TB32aB
31.05.2024;09:07;A116;1;5;24;5;30;7;17;0;0;1;1;1;1;0;0;0;0
31.05.2024;09:06;A116;1;3;21;6;28;6;13;0;0;0;0;2;2;0;0;0;0
31.05.2024;09:04;A116;1;1;64;5;23;6;13;0;0;0;0;4;16;1;1;0;0
31.05.2024;09:03;A116;1;2;18;3;78;6;36;0;0;0;0;7;23;0;0;0;0
31.05.2024;09:02;A116;1;4;31;4;24;2;3;0;0;0;0;4;10;1;1;0;0
31.05.2024;09:00;A116;1;8;31;7;45;12;26;1;1;0;0;4;4;1;3;0;0
31.05.2024;08:59;A116;1;3;57;4;78;5;22;0;0;0;0;3;21;0;0;0;0
31.05.2024;08:58;A116;1;3;15;4;34;9;23;0;0;1;1;1;1;0;0;1;1
31.05.2024;08:57;A116;1;5;26;3;34;7;21;0;0;0;0;2;18;0;0;0;0
31.05.2024;08:56;A116;1;6;26;3;21;4;7;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:37;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:36;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:33;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
