Datum;Uhrzeit;Bezeichnung;Intervall;H51_M1_644Z;H51_M1_644B;A51_M2_645Z;A51_M2_645B;H55_M3_648Z;H55_M3_648B;A55_M4_649Z;A55_M4_649B;T1Z;T1B;T3Z;T3B;T4Z;T4B;T5Z;T5B
31.05.2024;09:08;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:07;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:05;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:04;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:03;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:01;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:00;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:59;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:58;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:57;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:38;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:37;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:34;A125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
