Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;T1_2Z;T1_2B;T3_4Z;T3_4B
31.05.2024;09:08;A136;1;0;0;4;87;0;0;7;24;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:07;A136;1;0;0;0;100;0;0;5;4;3;6;1;2;1;2;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:05;A136;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;09:04;A136;1;1;76;0;0;0;0;5;7;1;1;0;0;0;0;1;2;1;2;1;2;0;0;0;0
31.05.2024;09:03;A136;1;0;0;0;0;0;0;6;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
31.05.2024;09:01;A136;1;1;96;0;0;0;0;4;6;1;0;0;0;0;0;1;2;1;2;1;2;0;0;0;0
31.05.2024;09:00;A136;1;1;14;1;50;0;0;3;9;2;3;0;0;1;2;0;0;0;0;0;0;1;3;0;0
31.05.2024;08:59;A136;1;0;6;1;82;0;0;8;16;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:58;A136;1;1;21;3;8;0;0;4;3;4;5;1;2;1;2;0;0;0;0;0;0;0;0;0;0
31.05.2024;08:57;A136;1;0;0;2;44;0;0;5;27;1;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:38;A136;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:37;A136;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:34;A136;1;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
