Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;TF32Z;TF32B;TB32Z;TB32B;VK1_2StoerZ;VK1_2StoerB
31.05.2024;09:07;A150;1;1;4;0;0;0;0;0;0;0;0
31.05.2024;09:06;A150;1;1;11;0;0;0;0;0;0;0;0
31.05.2024;09:04;A150;1;2;13;0;0;0;0;0;0;0;0
31.05.2024;09:03;A150;1;1;19;2;12;1;1;0;0;0;0
31.05.2024;09:02;A150;1;1;23;1;9;0;0;0;0;0;0
31.05.2024;09:00;A150;1;1;5;1;5;0;0;0;0;0;0
31.05.2024;08:59;A150;1;4;27;0;0;0;0;0;0;0;0
31.05.2024;08:58;A150;1;0;0;1;7;0;0;0;0;0;0
31.05.2024;08:57;A150;1;1;6;1;7;0;0;0;0;0;0
31.05.2024;08:56;A150;1;2;30;0;0;1;1;0;0;0;0
31.05.2024;03:37;A150;1;1;12;0;0;0;0;0;0;0;0
31.05.2024;03:36;A150;1;0;0;0;0;0;0;0;0;0;0
31.05.2024;03:33;A150;1;0;0;0;0;0;0;0;0;0;0
