Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D41Z;D41B;D42Z;D42B;T1Z;T1B;T2Z;T2B;T3Z;T3B;T4Z;T4B
27.06.2024;02:00;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:59;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:58;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:57;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:56;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:55;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:54;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:53;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:52;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:51;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:50;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:49;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:48;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:47;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:46;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:45;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:44;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:43;A 19;1;0;16;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:42;A 19;1;1;78;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:41;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:40;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:39;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:38;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:37;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:36;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:35;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:34;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:33;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:32;A 19;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:31;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:30;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:29;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:28;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:27;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:26;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:25;A 19;1;0;0;0;46;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:24;A 19;1;0;0;1;17;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:23;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:22;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:21;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:20;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:19;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:18;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:17;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:16;A 19;1;0;0;0;0;0;12;0;0;0;0;0;0;0;0
27.06.2024;01:15;A 19;1;0;0;0;0;1;15;0;0;0;0;0;0;0;0
27.06.2024;01:14;A 19;1;0;0;0;25;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:13;A 19;1;0;0;1;91;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:12;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:11;A 19;1;1;22;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:10;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:09;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:08;A 19;1;1;44;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:07;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:06;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:05;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:04;A 19;1;1;70;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:03;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:02;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:01;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;01:00;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:59;A 19;1;2;33;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:58;A 19;1;1;60;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:57;A 19;1;0;45;0;0;1;1;0;0;0;0;0;0;0;0
27.06.2024;00:56;A 19;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:55;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:54;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:53;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:52;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:51;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:50;A 19;1;1;31;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:49;A 19;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:48;A 19;1;2;41;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:47;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.06.2024;00:46;A 19;1;0;0;1;27;0;0;0;0;0;0;0;0;0;0
