Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V111Z;V111B;TF35Z;TF35B;TBS35Z;TBS35B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB
18.07.2024;01:10;A108;1;0;0;1;2;0;0;0;0;0;0;0;0
18.07.2024;01:06;A108;1;2;29;0;0;0;0;0;0;0;0;0;0
18.07.2024;01:04;A108;1;1;8;1;8;0;0;0;0;0;0;0;0
18.07.2024;00:39;A108;1;1;6;0;0;0;0;0;0;0;0;0;0
17.07.2024;23:33;A108;1;1;8;1;17;0;0;0;0;0;0;0;0
17.07.2024;22:50;A108;1;1;9;1;9;0;0;0;0;0;0;0;0
17.07.2024;22:19;A108;1;2;21;1;11;0;0;0;0;0;0;0;0
17.07.2024;20:25;A108;1;2;24;1;4;0;0;0;0;0;0;0;0
17.07.2024;17:13;A108;1;1;7;4;38;0;0;0;0;0;0;0;0
17.07.2024;15:41;A108;1;0;9;2;19;0;0;0;0;0;0;0;0
17.07.2024;15:39;A108;1;3;24;0;0;0;0;0;0;0;0;0;0
17.07.2024;15:18;A108;1;3;34;0;0;0;0;0;0;0;0;0;0
17.07.2024;15:01;A108;1;3;27;1;12;0;0;0;0;0;0;0;0
17.07.2024;14:53;A108;1;3;35;1;9;0;0;0;0;0;0;0;0
17.07.2024;14:20;A108;1;4;34;1;14;0;0;0;0;0;0;0;0
17.07.2024;14:19;A108;1;8;17;2;18;0;0;0;0;0;0;0;0
17.07.2024;14:18;A108;1;2;19;3;29;0;0;0;0;0;0;0;0
17.07.2024;14:16;A108;1;4;19;4;53;0;0;0;0;0;0;0;0
17.07.2024;13:58;A108;1;4;30;1;98;0;0;0;0;0;0;0;0
17.07.2024;13:52;A108;1;4;16;2;17;0;0;0;0;0;0;0;0
17.07.2024;13:43;A108;1;6;16;4;53;0;0;0;0;0;0;0;0
17.07.2024;13:41;A108;1;1;7;4;37;0;0;0;0;0;0;0;0
17.07.2024;13:08;A108;1;3;20;3;34;0;0;0;0;0;0;0;0
17.07.2024;13:01;A108;1;4;61;1;18;0;0;1;1;0;0;0;0
