Datum;Uhrzeit;Bezeichnung;Intervall;TF41_AFZ;TF41_AFB;TB41_AFZ;TB41_AFB;TF41a_AFZ;TF41a_AFB;TB41a_AFZ;TB41a_AFB
26.07.2024;02:00;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:59;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:58;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:57;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:56;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:55;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:54;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:53;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:52;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:51;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:50;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:49;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:48;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:47;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:46;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:45;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:44;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:43;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:42;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:41;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:40;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:39;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:38;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:37;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:36;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:35;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:34;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:33;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:32;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:31;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:30;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:29;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:28;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:27;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:26;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:25;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:24;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:23;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:22;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:21;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:20;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:19;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:18;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:17;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:16;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:15;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:14;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:13;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:12;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:11;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:10;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:09;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:08;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:07;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:06;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:05;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:04;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:03;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:02;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:01;A115;1;0;0;0;0;0;0;0;0
26.07.2024;01:00;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:59;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:58;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:57;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:56;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:55;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:54;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:53;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:52;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:51;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:50;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:49;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:48;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:47;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:46;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:45;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:44;A115;1;0;0;0;0;0;0;0;0
