Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D41Z;D41B;D42Z;D42B;res1Z;res1B;res2Z;res2B;res3Z;res3B;FG-AF_41aZ;FG-AF_41aB;FG-AF_BF41aZ;FG-AF_BF41aB;FG-AF_41bZ;FG-AF_41bB;FG-AF_BF41bZ;FG-AF_BF41bB;A88_MP2Z;A88_MP2B;A117/MP1Z;A117/MP1B;A117_MP2Z;A117_MP2B;A118_MP3Z;A118_MP3B;A117_MP3Z;A117_MP3B;A117_MP4Z;A117_MP4B
15.08.2024;10:07;A117;1;0;0;0;100;3;9;3;6;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;;;;;;;;;;
15.08.2024;10:06;A117;1;0;0;2;52;12;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;10:05;A117;1;0;0;0;0;6;9;5;7;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;10:04;A117;1;0;0;0;0;11;13;8;7;4;3;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;10:03;A117;1;0;0;0;0;14;17;6;9;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;10:02;A117;1;0;0;0;0;10;10;5;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;10:01;A117;1;0;0;0;0;10;12;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;10:00;A117;1;0;0;0;0;15;24;15;26;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:59;A117;1;0;0;0;0;8;51;20;21;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:58;A117;1;0;0;0;0;12;13;3;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:57;A117;1;0;0;0;0;10;15;13;13;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:56;A117;1;0;0;0;0;12;16;11;27;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:55;A117;1;1;81;0;0;10;18;11;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:54;A117;1;1;27;0;0;10;21;12;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:53;A117;1;0;0;0;0;9;48;13;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:52;A117;1;0;0;0;0;21;42;17;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:51;A117;1;0;10;0;0;10;16;11;41;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:50;A117;1;1;53;0;0;10;12;13;36;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:49;A117;1;1;45;0;0;10;11;2;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
