Datum;Uhrzeit;Bezeichnung;Intervall;V21_AnfZ;V21_AnfB;V81_AnfZ;V81_AnfB;V381_AnfZ;V381_AnfB;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB
19.08.2024;09:22;A151;1;6;43;7;48;0;0;0;0;2;5;0;0;0;0
19.08.2024;09:21;A151;1;4;44;1;15;0;0;0;0;4;7;0;0;0;0
19.08.2024;09:20;A151;1;2;15;5;47;0;0;0;0;2;4;0;0;0;0
19.08.2024;09:19;A151;1;5;45;0;6;0;0;0;0;3;7;0;0;0;0
19.08.2024;09:18;A151;1;4;51;6;44;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:17;A151;1;4;31;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:16;A151;1;3;29;3;30;0;0;0;0;1;3;0;0;0;0
19.08.2024;09:15;A151;1;3;89;1;76;0;0;0;0;3;22;0;0;0;0
19.08.2024;09:14;A151;1;3;53;2;11;1;1;0;0;2;25;1;1;0;1
19.08.2024;09:13;A151;1;4;52;5;27;0;0;0;0;3;5;0;0;2;1
19.08.2024;09:12;A151;1;1;12;1;5;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:11;A151;1;4;58;3;29;0;0;0;0;1;3;0;0;0;0
19.08.2024;09:10;A151;1;5;30;4;27;0;0;0;0;4;8;0;0;0;0
19.08.2024;09:09;A151;1;2;23;6;54;0;0;0;0;1;1;0;0;0;0
19.08.2024;09:08;A151;1;1;13;3;17;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:07;A151;1;3;35;5;36;0;0;0;0;2;4;0;0;0;0
19.08.2024;09:06;A151;1;3;39;2;21;0;0;0;0;5;9;0;0;0;0
19.08.2024;09:05;A151;1;2;14;3;24;0;0;0;0;1;4;0;0;0;0
19.08.2024;09:04;A151;1;3;34;2;17;0;0;0;0;0;0;0;0;0;0
19.08.2024;09:03;A151;1;4;32;5;34;0;0;0;0;1;0;0;0;0;0
19.08.2024;09:02;A151;1;4;28;4;32;0;0;0;0;2;3;0;0;0;0
19.08.2024;09:01;A151;1;2;32;4;22;0;0;0;0;1;2;0;0;0;0
19.08.2024;09:00;A151;1;2;33;6;54;0;0;0;0;2;4;0;0;0;0
19.08.2024;08:59;A151;1;3;40;3;26;0;0;0;0;2;27;0;0;0;0
