Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;D51Z;D51B;D81Z;D81B;D82Z;D82B;D91Z;D91B;D41Z;D41B;D42_1Z;D42_1B;_FG32Z;_FG32B;_FG33Z;_FG33B;_FG38Z;_FG38B;V83Z;V83B;V84Z;V84B;V92Z;V92B;V43Z;V43B;V44Z;V44B
28.09.2024;02:00;A 11;1;1;10;0;0;0;0;1;0;1;2;0;0;0;100;0;100;0;0;0;0;0;0;1;3;0;11;0;5;0;0;0;0
28.09.2024;01:59;A 11;1;0;0;0;0;0;0;1;3;0;0;0;0;0;100;0;100;0;0;0;0;0;0;2;9;1;4;1;8;0;0;0;10
28.09.2024;01:58;A 11;1;3;21;0;0;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;4;0;0;0;0;0;0;1;24
28.09.2024;01:57;A 11;1;1;11;1;10;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;01:56;A 11;1;0;0;2;8;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;01:55;A 11;1;5;19;0;0;0;0;2;2;1;2;0;0;0;100;0;100;0;0;0;0;0;0;3;32;1;15;1;11;0;0;0;0
28.09.2024;01:54;A 11;1;2;9;0;0;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;2;9;0;0;0;0;0;0;0;0
28.09.2024;01:53;A 11;1;1;24;2;5;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
28.09.2024;01:52;A 11;1;1;6;0;0;0;0;2;4;1;2;0;0;0;100;0;100;0;0;0;0;0;0;6;28;3;27;1;9;0;0;0;0
28.09.2024;01:51;A 11;1;0;0;0;0;0;0;0;0;2;3;0;0;0;100;0;100;0;0;0;0;0;0;3;9;2;21;2;20;0;0;1;5
28.09.2024;01:50;A 11;1;1;22;0;0;0;0;2;3;1;1;0;0;0;100;0;100;0;0;0;0;0;0;6;20;1;10;1;11;0;0;0;0
28.09.2024;01:49;A 11;1;0;0;2;14;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;01:48;A 11;1;0;0;0;0;0;0;1;2;1;2;0;0;0;100;0;100;0;0;0;0;0;0;4;11;2;15;1;14;0;0;0;0
28.09.2024;01:47;A 11;1;0;4;0;0;0;0;0;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0
28.09.2024;01:46;A 11;1;1;9;1;7;0;0;4;4;1;1;0;0;0;100;0;100;0;0;0;0;0;0;5;30;1;11;1;6;0;0;0;0
28.09.2024;01:45;A 11;1;2;8;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;01:44;A 11;1;24;42;2;13;0;0;1;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;9;1;8;1;7;0;0;0;0
28.09.2024;01:43;A 11;1;1;14;3;21;0;0;2;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;2;21;0;0;0;0;0;0;0;0
28.09.2024;01:42;A 11;1;0;4;0;0;0;0;1;5;1;1;0;0;0;100;0;100;0;0;0;0;0;0;0;88;1;6;0;0;0;0;0;0
