Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;T32Z;T32B;TB32Z;TB32B;V51Z;V51B;ST55Z;ST55B;TB33Z;TB33B;VK1_3StoerZ;VK1_3StoerB
12.10.2024;02:00;A 39;1;;;1;7;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:59;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:58;A 39;1;;;0;0;1;3;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:57;A 39;1;;;0;2;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:56;A 39;1;;;1;10;1;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:55;A 39;1;;;1;11;3;7;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:54;A 39;1;;;0;0;2;20;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:53;A 39;1;;;1;5;2;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:52;A 39;1;;;0;0;1;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:51;A 39;1;;;1;20;0;0;0;2;0;0;0;0;0;0;0;0
12.10.2024;01:50;A 39;1;;;0;0;2;4;2;8;0;0;0;0;0;0;0;0
12.10.2024;01:49;A 39;1;;;0;0;1;6;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:48;A 39;1;;;0;0;3;8;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:47;A 39;1;;;1;2;3;12;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:46;A 39;1;;;0;0;2;12;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:45;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:44;A 39;1;;;2;18;1;10;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:43;A 39;1;;;1;6;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:42;A 39;1;;;2;15;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:41;A 39;1;;;0;0;5;21;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:40;A 39;1;;;0;0;2;2;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:39;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:38;A 39;1;;;3;16;1;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:37;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:36;A 39;1;;;0;0;1;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:35;A 39;1;;;0;0;1;2;1;9;0;0;0;0;0;0;0;0
12.10.2024;01:34;A 39;1;;;0;0;3;7;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:33;A 39;1;;;2;8;2;3;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:32;A 39;1;;;0;0;4;11;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:31;A 39;1;;;1;5;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:30;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:29;A 39;1;;;3;20;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:28;A 39;1;;;0;0;4;11;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:27;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:26;A 39;1;;;3;17;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:25;A 39;1;;;3;4;2;3;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:24;A 39;1;;;3;8;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:23;A 39;1;;;0;0;1;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:22;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:21;A 39;1;;;0;0;4;10;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:20;A 39;1;;;1;24;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:19;A 39;1;;;0;0;1;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:18;A 39;1;;;1;7;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:17;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:16;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:15;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:14;A 39;1;;;4;20;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:13;A 39;1;;;0;0;1;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:12;A 39;1;;;2;14;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:11;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:10;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:09;A 39;1;;;2;22;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:08;A 39;1;;;1;3;4;13;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:07;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:06;A 39;1;;;0;0;1;5;2;10;0;0;0;0;0;0;0;0
12.10.2024;01:05;A 39;1;;;1;8;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:04;A 39;1;;;0;0;2;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:03;A 39;1;;;1;10;1;3;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:02;A 39;1;;;0;0;2;7;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:01;A 39;1;;;0;0;2;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;01:00;A 39;1;;;2;10;2;2;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:59;A 39;1;;;1;3;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:58;A 39;1;;;3;3;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:57;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:56;A 39;1;;;1;6;3;15;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:55;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:54;A 39;1;;;2;9;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:53;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:52;A 39;1;;;2;4;2;9;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:51;A 39;1;;;2;19;2;6;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:50;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:49;A 39;1;;;1;15;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:48;A 39;1;;;0;0;1;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:47;A 39;1;;;1;4;1;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:46;A 39;1;;;0;0;3;15;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:45;A 39;1;;;0;0;2;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:44;A 39;1;;;0;3;1;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:43;A 39;1;;;1;3;2;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:42;A 39;1;;;0;0;2;8;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:41;A 39;1;;;0;0;3;10;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:40;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:39;A 39;1;;;1;8;2;9;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:38;A 39;1;;;2;25;2;3;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:37;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:36;A 39;1;;;2;11;1;6;2;9;0;0;0;0;0;0;0;0
12.10.2024;00:35;A 39;1;;;0;0;3;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:34;A 39;1;;;2;22;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:33;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:32;A 39;1;;;1;4;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:31;A 39;1;;;1;7;1;12;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:30;A 39;1;;;4;18;1;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:29;A 39;1;;;3;18;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:28;A 39;1;;;0;0;4;8;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:27;A 39;1;;;1;4;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:26;A 39;1;;;0;0;2;10;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:25;A 39;1;;;2;14;4;14;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:24;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:23;A 39;1;;;2;15;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:22;A 39;1;;;0;0;2;14;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:21;A 39;1;;;3;13;2;2;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:20;A 39;1;;;0;0;1;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:19;A 39;1;;;1;7;4;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:18;A 39;1;;;2;8;2;12;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:17;A 39;1;;;1;1;1;3;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:16;A 39;1;;;1;8;3;17;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:15;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:14;A 39;1;;;2;23;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:13;A 39;1;;;1;2;2;13;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:12;A 39;1;;;2;13;2;4;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:11;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:10;A 39;1;;;0;0;3;8;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:09;A 39;1;;;1;3;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:08;A 39;1;;;3;15;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:07;A 39;1;;;1;7;2;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:06;A 39;1;;;2;4;0;0;1;10;0;0;0;0;0;0;0;0
12.10.2024;00:05;A 39;1;;;1;13;3;12;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:04;A 39;1;;;0;0;1;5;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:03;A 39;1;;;2;19;2;7;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:02;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:01;A 39;1;;;0;1;1;3;0;0;0;0;0;0;0;0;0;0
12.10.2024;00:00;A 39;1;;;2;12;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:59;A 39;1;;;2;9;6;12;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:58;A 39;1;;;1;6;4;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:57;A 39;1;;;2;14;4;9;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:56;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:55;A 39;1;;;2;11;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:54;A 39;1;;;2;16;1;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:53;A 39;1;;;3;4;1;4;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:52;A 39;1;;;0;0;1;4;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:51;A 39;1;;;1;12;3;10;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:50;A 39;1;;;1;5;2;7;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:49;A 39;1;;;2;10;2;7;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:48;A 39;1;;;2;9;3;8;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:47;A 39;1;;;2;9;2;3;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:46;A 39;1;;;1;11;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:45;A 39;1;;;0;0;1;5;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:44;A 39;1;;;1;7;3;8;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:43;A 39;1;;;0;0;4;29;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:42;A 39;1;;;1;10;3;9;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:41;A 39;1;;;0;0;1;6;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:40;A 39;1;;;3;10;4;10;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:39;A 39;1;;;0;0;2;9;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:38;A 39;1;;;4;20;4;20;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:37;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:36;A 39;1;;;1;7;2;16;2;11;0;0;0;0;0;0;0;0
11.10.2024;23:35;A 39;1;;;0;15;3;10;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:34;A 39;1;;;3;6;4;25;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:33;A 39;1;;;1;9;1;2;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:32;A 39;1;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:31;A 39;1;;;3;24;3;12;0;0;0;0;0;0;0;0;0;0
11.10.2024;23:30;A 39;1;;;0;0;3;11;0;0;0;0;0;0;0;0;0;0
