Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B
21.11.2024;01:00;A 29;1;1;10;1;9
21.11.2024;00:59;A 29;1;0;0;1;0
21.11.2024;00:58;A 29;1;0;0;1;10
21.11.2024;00:57;A 29;1;0;0;0;0
21.11.2024;00:56;A 29;1;1;8;1;32
21.11.2024;00:55;A 29;1;0;0;1;16
21.11.2024;00:54;A 29;1;0;2;2;17
21.11.2024;00:53;A 29;1;1;49;0;0
21.11.2024;00:52;A 29;1;0;0;0;0
21.11.2024;00:51;A 29;1;0;0;1;1
21.11.2024;00:50;A 29;1;1;0;2;9
21.11.2024;00:49;A 29;1;0;0;1;15
21.11.2024;00:48;A 29;1;0;0;0;13
21.11.2024;00:47;A 29;1;0;0;1;22
21.11.2024;00:46;A 29;1;0;4;1;3
21.11.2024;00:45;A 29;1;1;3;1;2
21.11.2024;00:44;A 29;1;0;0;0;0
21.11.2024;00:43;A 29;1;1;5;0;0
21.11.2024;00:42;A 29;1;0;0;1;1
21.11.2024;00:41;A 29;1;0;0;1;3
21.11.2024;00:40;A 29;1;0;0;0;0
21.11.2024;00:39;A 29;1;0;0;0;0
21.11.2024;00:38;A 29;1;1;6;2;1
21.11.2024;00:37;A 29;1;1;1;1;5
21.11.2024;00:36;A 29;1;0;0;1;9
21.11.2024;00:35;A 29;1;0;0;0;0
21.11.2024;00:34;A 29;1;0;0;1;13
21.11.2024;00:33;A 29;1;0;0;1;1
21.11.2024;00:32;A 29;1;0;0;0;0
21.11.2024;00:31;A 29;1;0;0;0;0
21.11.2024;00:30;A 29;1;0;0;0;0
21.11.2024;00:29;A 29;1;0;0;1;25
21.11.2024;00:28;A 29;1;1;1;1;18
21.11.2024;00:27;A 29;1;0;0;0;0
21.11.2024;00:26;A 29;1;1;3;0;0
21.11.2024;00:25;A 29;1;1;7;0;0
21.11.2024;00:24;A 29;1;0;0;0;0
21.11.2024;00:23;A 29;1;0;0;0;0
21.11.2024;00:22;A 29;1;0;0;0;0
21.11.2024;00:21;A 29;1;0;0;0;0
21.11.2024;00:20;A 29;1;1;21;0;0
21.11.2024;00:19;A 29;1;2;13;3;6
21.11.2024;00:18;A 29;1;1;9;0;0
21.11.2024;00:17;A 29;1;1;4;1;9
21.11.2024;00:16;A 29;1;0;0;2;7
21.11.2024;00:15;A 29;1;0;0;1;11
21.11.2024;00:14;A 29;1;0;0;1;20
21.11.2024;00:13;A 29;1;0;0;1;19
21.11.2024;00:12;A 29;1;0;0;0;0
21.11.2024;00:11;A 29;1;1;7;0;0
21.11.2024;00:10;A 29;1;0;0;1;4
21.11.2024;00:09;A 29;1;0;0;0;0
21.11.2024;00:08;A 29;1;0;0;0;0
21.11.2024;00:07;A 29;1;0;0;0;0
21.11.2024;00:06;A 29;1;0;0;0;0
21.11.2024;00:05;A 29;1;0;0;1;8
21.11.2024;00:04;A 29;1;0;0;1;3
21.11.2024;00:03;A 29;1;0;0;1;11
21.11.2024;00:02;A 29;1;0;0;1;6
21.11.2024;00:01;A 29;1;0;0;0;0
21.11.2024;00:00;A 29;1;0;0;1;21
20.11.2024;23:59;A 29;1;0;0;1;18
20.11.2024;23:58;A 29;1;0;0;0;0
20.11.2024;23:57;A 29;1;0;0;0;0
20.11.2024;23:56;A 29;1;0;0;0;0
20.11.2024;23:55;A 29;1;0;0;1;5
20.11.2024;23:54;A 29;1;0;0;0;0
