Datum;Uhrzeit;Bezeichnung;Intervall;V51_A9/M2_510Z;V51_A9/M2_510B;H51_A135/1_492Z;H51_A135/1_492B;A51_M1_493Z;A51_M1_493B;H55_A110/M3_12XZ;H55_A110/M3_12XB;A55_M2_1290/12XZ;A55_M2_1290/12XB;MP3_SL_A110Z;MP3_SL_A110B;Anf_32Z;Anf_32B
04.12.2024;01:00;A 74;1;0;0;0;0;1;1;2;3;0;0;0;0;0;0
04.12.2024;00:59;A 74;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0
04.12.2024;00:58;A 74;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0
04.12.2024;00:57;A 74;1;0;0;0;0;0;0;0;0;1;7;0;0;0;0
04.12.2024;00:56;A 74;1;0;0;3;14;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:55;A 74;1;0;0;0;0;0;24;0;0;0;0;0;0;0;0
04.12.2024;00:54;A 74;1;0;0;2;15;1;43;0;0;0;0;0;0;0;0
04.12.2024;00:53;A 74;1;0;0;1;9;1;6;0;0;0;0;0;0;0;0
04.12.2024;00:52;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:51;A 74;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0
04.12.2024;00:50;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:49;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:48;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:47;A 74;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0
04.12.2024;00:46;A 74;1;0;0;0;0;1;8;0;0;0;0;0;0;0;0
04.12.2024;00:45;A 74;1;0;0;1;13;1;6;0;0;0;0;0;0;0;0
04.12.2024;00:44;A 74;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0
04.12.2024;00:43;A 74;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:42;A 74;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:41;A 74;1;0;0;1;16;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:40;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:39;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:38;A 74;1;0;0;0;0;2;15;0;0;0;8;0;0;0;0
04.12.2024;00:37;A 74;1;0;0;0;0;0;0;0;0;1;9;0;0;0;0
04.12.2024;00:36;A 74;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0
04.12.2024;00:35;A 74;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0
04.12.2024;00:34;A 74;1;0;0;1;18;1;5;0;0;0;0;0;0;0;0
04.12.2024;00:33;A 74;1;0;0;0;0;0;0;0;0;1;16;1;1;0;0
04.12.2024;00:32;A 74;1;0;0;0;0;2;12;0;0;0;0;0;0;0;0
04.12.2024;00:31;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:30;A 74;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0
04.12.2024;00:29;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:28;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:27;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:26;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:25;A 74;1;0;0;0;0;1;5;1;5;0;0;0;0;0;0
04.12.2024;00:24;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:23;A 74;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:22;A 74;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:21;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:20;A 74;1;0;0;0;0;2;5;0;0;0;0;0;0;0;0
04.12.2024;00:19;A 74;1;0;0;1;8;0;4;0;0;0;0;0;0;0;0
04.12.2024;00:18;A 74;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0
04.12.2024;00:17;A 74;1;0;0;0;0;1;8;0;0;0;0;0;0;0;0
04.12.2024;00:16;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:15;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:14;A 74;1;0;0;0;0;2;14;0;0;1;4;0;0;0;0
