Datum;Uhrzeit;Bezeichnung;Intervall;D1Z;D1B;D2Z;D2B;FG35HZ;FG35HB;FG35WZ;FG35WB;TS_SchluesselschalterZ;TS_SchluesselschalterB;TS_WarteZ;TS_WarteB;TS_BrandmeldungZ;TS_BrandmeldungB;D3Z;D3B
04.12.2024;01:00;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:59;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:58;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:57;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:56;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:55;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:54;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:53;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:52;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:51;A102;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2
04.12.2024;00:50;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:49;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:48;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:47;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:46;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2
04.12.2024;00:45;A102;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2
04.12.2024;00:44;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:43;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:42;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:41;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:40;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:39;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:38;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:37;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1
04.12.2024;00:36;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:35;A102;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2;2
04.12.2024;00:34;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:33;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
04.12.2024;00:32;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:31;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:30;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:29;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:28;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:27;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:26;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:25;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:24;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
04.12.2024;00:23;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:22;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:21;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:20;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:19;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:18;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:17;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
04.12.2024;00:16;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
04.12.2024;00:15;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:14;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:13;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:12;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:11;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
04.12.2024;00:10;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
04.12.2024;00:09;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;3
04.12.2024;00:08;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:07;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:06;A102;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;3
04.12.2024;00:05;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:04;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;00:03;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:02;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
04.12.2024;00:01;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:00;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:59;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:58;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:57;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
