Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;H51_A74/M1S_493Z;H51_A74/M1S_493B;A51_M1S_494Z;A51_M1S_494B;H55_A30/M3S_504Z;H55_A30/M3S_504B;A55_M3S_505Z;A55_M3S_505B;H54_M3SL_1289Z;H54_M3SL_1289B;A54_M4SL_506Z;A54_M4SL_506B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
10.12.2024;16:58;A110;1;2;5;4;8;8;12;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:56;A110;1;4;6;4;34;7;16;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:55;A110;1;0;0;6;18;1;23;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:54;A110;1;0;0;3;4;10;59;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:53;A110;1;2;5;3;8;5;47;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:52;A110;1;1;1;7;7;3;5;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:51;A110;1;2;2;1;1;4;5;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:50;A110;1;1;2;3;7;2;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:49;A110;1;1;0;6;24;4;66;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:48;A110;1;0;0;4;26;7;37;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:47;A110;1;0;0;2;3;14;36;1;2;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:46;A110;1;2;6;9;29;6;71;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:45;A110;1;5;5;5;7;12;61;0;0;1;2;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:44;A110;1;0;0;1;1;9;34;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:43;A110;1;0;0;5;10;4;46;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:42;A110;1;1;3;4;10;9;12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:41;A110;1;0;0;8;22;10;19;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:40;A110;1;0;0;3;4;5;7;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:39;A110;1;3;3;0;0;3;31;1;2;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:38;A110;1;2;4;6;16;6;21;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:37;A110;1;2;2;12;30;10;34;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:36;A110;1;1;1;5;12;11;35;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:35;A110;1;0;0;5;14;8;51;0;0;1;2;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:34;A110;1;1;2;0;0;8;53;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:33;A110;1;1;2;7;41;7;53;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:32;A110;1;1;2;4;57;7;68;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:31;A110;1;3;3;4;51;8;56;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:30;A110;1;0;0;8;60;9;26;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:29;A110;1;3;3;4;8;4;11;1;2;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:28;A110;1;0;0;7;64;8;53;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:27;A110;1;0;0;5;25;4;59;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:26;A110;1;0;0;0;0;6;26;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:25;A110;1;1;0;2;4;11;48;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:24;A110;1;0;0;1;1;4;74;0;0;0;0;0;0;1;2;1;2;1;2;;;;;0;0;0;0;0;0
10.12.2024;16:23;A110;1;0;0;1;18;4;70;0;0;0;0;2;3;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:22;A110;1;1;1;8;57;7;42;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:21;A110;1;0;0;1;1;5;7;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:20;A110;1;1;1;7;64;9;15;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;16:19;A110;1;0;0;1;2;11;20;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
