Datum;Uhrzeit;Bezeichnung;Intervall;TF32_AFZ;TF32_AFB;TBS32_AFZ;TBS32_AFB;TB32a_AFZ;TB32a_AFB;TBs32a_AFZ;TBs32a_AFB
01.01.2024;01:00;A166;1;0;0;0;0;0;0;0;0
01.01.2024;00:59;A166;1;0;0;0;0;0;0;0;0
01.01.2024;00:58;A166;1;0;0;0;0;0;0;0;0
01.01.2024;00:57;A166;1;0;0;0;0;0;0;0;0
01.01.2024;00:56;A166;1;0;0;0;0;0;0;0;0
01.01.2024;00:55;A166;1;0;0;0;0;0;0;0;0
01.01.2024;00:54;A166;1;0;0;0;0;0;0;0;0
01.01.2024;00:53;A166;1;0;0;0;0;0;0;0;0
01.01.2024;00:52;A166;1;0;0;0;0;0;0;0;0
01.01.2024;00:51;A166;1;0;0;0;0;0;0;0;0
01.01.2024;00:50;A166;1;0;0;0;0;0;0;0;0
