Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;Anf_35Z;Anf_35B;Anf_41Z;Anf_41B
17.01.2025;00:49;A 70;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
17.01.2025;00:29;A 70;1;0;0;1;3;2;1;0;0;0;0;0;0;0;0;0;100;1;1;0;0;0;0;;;;;;;;;;
17.01.2025;00:10;A 70;1;0;10;0;0;1;1;3;3;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;23:59;A 70;1;2;40;1;43;1;13;0;0;0;0;0;0;1;36;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;23:46;A 70;1;0;0;0;0;1;71;1;1;1;0;0;0;1;50;0;100;1;1;0;0;0;0;;;;;;;;;;
16.01.2025;23:39;A 70;1;0;0;1;54;1;52;2;2;0;0;0;0;0;0;0;100;2;4;0;0;0;0;;;;;;;;;;
16.01.2025;23:32;A 70;1;0;0;1;32;1;1;3;5;1;1;0;0;1;3;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;23:28;A 70;1;0;0;2;12;1;2;2;4;2;1;0;0;0;5;0;100;2;1;0;0;0;0;;;;;;;;;;
16.01.2025;18:03;A 70;1;1;23;1;24;2;31;6;25;3;2;0;0;3;36;0;100;3;16;0;0;0;0;;;;;;;;;;
16.01.2025;18:02;A 70;1;1;62;2;72;2;88;10;54;4;3;0;0;1;21;0;100;1;0;0;0;0;0;;;;;;;;;;
16.01.2025;18:01;A 70;1;0;0;2;73;3;85;10;34;5;4;0;0;6;71;0;100;2;2;0;0;0;0;;;;;;;;;;
16.01.2025;18:00;A 70;1;0;25;3;14;1;49;4;18;4;3;0;0;5;33;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:59;A 70;1;1;26;0;0;1;90;9;36;3;3;0;0;1;10;0;100;0;16;0;0;0;0;;;;;;;;;;
16.01.2025;17:58;A 70;1;1;38;4;72;4;29;12;61;4;2;0;0;3;77;0;100;3;83;0;0;0;0;;;;;;;;;;
16.01.2025;17:57;A 70;1;1;32;5;34;1;30;9;62;1;15;0;0;9;80;0;100;1;4;0;0;0;0;;;;;;;;;;
16.01.2025;17:56;A 70;1;3;37;3;77;1;85;8;17;2;2;0;0;4;88;0;100;1;2;0;0;0;0;;;;;;;;;;
16.01.2025;17:55;A 70;1;1;11;2;70;4;55;6;14;2;2;0;0;2;26;0;100;1;2;0;0;0;0;;;;;;;;;;
16.01.2025;17:54;A 70;1;2;41;2;44;2;31;5;19;5;5;0;0;6;10;0;100;2;2;1;2;1;2;;;;;;;;;;
16.01.2025;17:53;A 70;1;0;10;3;90;2;85;8;16;6;4;0;0;5;23;0;100;3;3;0;0;0;0;;;;;;;;;;
16.01.2025;17:52;A 70;1;1;8;1;22;1;21;12;35;1;1;0;0;4;47;0;100;0;1;0;0;0;1;;;;;;;;;;
16.01.2025;17:51;A 70;1;0;0;2;25;5;52;3;6;2;42;0;0;4;31;0;100;3;40;1;2;1;1;;;;;;;;;;
16.01.2025;17:50;A 70;1;0;0;4;36;1;46;10;45;6;4;0;0;2;22;0;100;5;44;0;0;0;0;;;;;;;;;;
16.01.2025;17:49;A 70;1;0;0;8;89;3;92;9;14;4;2;0;0;5;11;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:48;A 70;1;0;0;0;100;0;100;6;12;2;1;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:47;A 70;1;0;0;4;38;4;34;4;13;2;1;0;0;2;3;0;100;0;0;0;0;1;2;;;;;;;;;;
16.01.2025;17:46;A 70;1;3;74;2;78;1;81;9;11;5;4;0;0;3;39;0;100;4;4;1;2;0;0;;;;;;;;;;
16.01.2025;17:45;A 70;1;2;33;5;72;2;73;9;42;6;4;0;0;1;28;0;100;4;58;0;0;0;0;;;;;;;;;;
16.01.2025;17:44;A 70;1;2;22;8;88;7;8;6;46;4;3;0;0;1;36;0;100;2;50;0;0;0;0;;;;;;;;;;
16.01.2025;17:43;A 70;1;0;0;6;88;5;90;10;27;0;0;0;0;1;76;0;100;3;39;0;0;0;0;;;;;;;;;;
16.01.2025;17:42;A 70;1;2;5;11;60;4;73;4;51;2;2;0;0;14;69;0;100;1;65;0;0;0;0;;;;;;;;;;
16.01.2025;17:41;A 70;1;0;0;0;100;0;100;10;11;2;1;0;0;0;100;0;100;1;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:40;A 70;1;0;28;2;50;3;49;7;14;3;2;0;0;3;48;0;100;3;24;0;0;0;0;;;;;;;;;;
16.01.2025;17:39;A 70;1;1;14;5;37;4;39;4;7;3;3;0;0;1;22;0;100;1;2;1;2;1;2;;;;;;;;;;
16.01.2025;17:38;A 70;1;0;14;3;71;2;50;10;73;4;3;0;0;3;20;0;100;1;44;0;0;0;0;;;;;;;;;;
16.01.2025;17:37;A 70;1;2;48;1;41;4;44;10;36;1;1;0;0;6;48;0;100;3;4;0;0;1;2;;;;;;;;;;
16.01.2025;17:36;A 70;1;1;15;1;30;1;22;1;1;1;1;0;0;5;30;0;100;1;41;1;2;0;0;;;;;;;;;;
16.01.2025;17:35;A 70;1;1;2;2;81;1;19;10;52;5;5;0;0;1;54;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:34;A 70;1;1;74;1;71;3;89;7;15;5;4;0;0;5;24;0;100;2;1;0;0;0;0;;;;;;;;;;
16.01.2025;17:33;A 70;1;0;0;1;8;1;3;12;37;3;2;0;0;3;17;0;100;3;5;0;0;0;0;;;;;;;;;;
16.01.2025;17:32;A 70;1;0;0;3;49;2;9;11;43;5;4;0;0;1;47;0;100;2;2;0;0;0;0;;;;;;;;;;
16.01.2025;17:31;A 70;1;2;78;4;82;2;96;11;17;7;8;0;0;6;84;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:30;A 70;1;2;40;2;56;4;42;7;68;1;0;0;0;6;35;0;100;2;63;0;0;0;0;;;;;;;;;;
16.01.2025;17:29;A 70;1;1;20;4;11;4;9;11;63;6;5;0;0;1;67;0;100;1;21;0;0;0;0;;;;;;;;;;
16.01.2025;17:28;A 70;1;3;2;5;84;4;90;14;53;6;11;0;0;2;53;0;100;3;4;0;0;0;0;;;;;;;;;;
16.01.2025;17:27;A 70;1;0;0;3;58;2;67;11;67;4;82;0;0;5;32;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:26;A 70;1;0;0;1;73;1;72;24;39;4;8;0;0;1;2;0;100;1;2;0;0;0;0;;;;;;;;;;
16.01.2025;17:25;A 70;1;0;0;1;39;5;40;10;60;1;1;0;0;3;53;0;100;2;23;0;0;0;0;;;;;;;;;;
16.01.2025;17:24;A 70;1;0;0;4;18;3;20;1;70;1;1;0;0;7;25;0;100;1;75;1;2;1;2;;;;;;;;;;
16.01.2025;17:23;A 70;1;0;0;4;36;4;48;7;83;2;5;0;0;2;55;0;100;1;1;1;2;1;2;;;;;;;;;;
16.01.2025;17:22;A 70;1;0;0;1;2;3;49;6;11;2;2;0;0;2;80;0;100;3;6;0;0;0;0;;;;;;;;;;
16.01.2025;17:21;A 70;1;0;25;4;30;5;51;4;33;1;2;0;0;6;36;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:20;A 70;1;1;65;3;52;2;53;12;70;5;4;0;0;3;3;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:19;A 70;1;0;0;2;78;1;91;14;55;5;3;0;0;5;87;0;100;4;3;0;0;0;0;;;;;;;;;;
16.01.2025;17:18;A 70;1;0;0;1;18;4;76;8;83;5;4;0;0;8;42;0;100;1;65;0;0;0;0;;;;;;;;;;
16.01.2025;17:17;A 70;1;1;2;1;3;1;66;6;60;3;2;0;0;6;51;0;100;4;7;0;0;0;0;;;;;;;;;;
16.01.2025;17:16;A 70;1;0;0;8;86;2;86;11;28;6;3;0;0;7;81;0;100;1;1;0;0;0;0;;;;;;;;;;
16.01.2025;17:15;A 70;1;0;0;3;28;2;30;6;25;1;1;0;0;1;25;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:14;A 70;1;1;2;3;57;5;79;8;11;9;7;0;0;2;74;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;17:13;A 70;1;1;58;2;77;3;74;11;21;1;0;0;0;5;71;0;100;2;52;0;0;0;0;;;;;;;;;;
16.01.2025;17:12;A 70;1;1;11;7;13;9;13;6;61;2;2;0;0;2;5;0;100;3;94;0;0;0;0;;;;;;;;;;
