Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D21Z;D21B;D31Z;D31B;D41Z;D41B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B
17.01.2025;00:49;A111;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
17.01.2025;00:29;A111;1;1;1;1;9;0;0;0;0;0;0;0;0;0;0
17.01.2025;00:10;A111;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0
16.01.2025;23:59;A111;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0
16.01.2025;23:46;A111;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
16.01.2025;23:39;A111;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0
16.01.2025;23:32;A111;1;0;0;0;23;0;0;0;0;0;0;0;0;0;0
16.01.2025;23:28;A111;1;1;0;1;1;2;2;0;0;0;0;0;0;0;0
16.01.2025;18:02;A111;1;4;19;2;63;10;13;0;0;0;0;0;0;0;0
16.01.2025;18:01;A111;1;3;63;2;41;10;57;0;0;0;0;0;0;0;0
16.01.2025;18:00;A111;1;15;51;0;0;11;26;0;0;0;0;0;0;0;0
16.01.2025;17:59;A111;1;1;94;8;60;5;28;0;0;0;0;0;0;0;0
16.01.2025;17:58;A111;1;4;43;3;26;10;17;0;0;0;0;0;0;0;0
16.01.2025;17:57;A111;1;4;9;5;45;5;7;0;0;0;0;0;0;0;0
16.01.2025;17:56;A111;1;4;11;3;54;8;9;1;0;0;0;0;0;0;0
16.01.2025;17:55;A111;1;2;8;5;11;7;66;0;0;0;0;0;0;0;0
16.01.2025;17:54;A111;1;13;20;2;1;14;53;0;0;0;0;0;0;0;0
16.01.2025;17:53;A111;1;3;6;2;64;4;39;1;1;0;0;0;0;0;0
16.01.2025;17:52;A111;1;6;16;7;85;4;39;0;0;0;0;0;0;0;0
16.01.2025;17:51;A111;1;10;13;0;100;7;14;0;0;0;0;0;0;0;0
16.01.2025;17:50;A111;1;1;4;5;14;4;10;0;0;0;0;0;0;0;0
16.01.2025;17:49;A111;1;6;10;1;3;4;7;0;0;0;0;0;0;0;0
16.01.2025;17:48;A111;1;5;15;0;0;7;9;1;1;0;0;0;0;0;0
16.01.2025;17:47;A111;1;6;62;4;56;3;6;0;0;0;0;0;0;0;0
16.01.2025;17:46;A111;1;7;81;13;63;4;5;2;2;0;0;0;0;0;0
16.01.2025;17:45;A111;1;8;73;1;86;7;12;0;0;0;0;0;0;0;0
16.01.2025;17:44;A111;1;2;4;7;68;9;12;0;0;0;0;0;0;0;0
16.01.2025;17:43;A111;1;9;62;4;68;4;20;0;0;0;0;0;0;0;0
16.01.2025;17:42;A111;1;10;69;1;2;4;9;1;1;0;0;0;0;0;0
16.01.2025;17:41;A111;1;3;81;3;63;8;8;0;0;0;0;0;0;0;0
16.01.2025;17:40;A111;1;6;8;6;66;6;64;0;0;0;0;0;0;0;0
16.01.2025;17:39;A111;1;6;17;0;0;11;31;1;1;0;0;0;0;0;0
16.01.2025;17:38;A111;1;4;75;0;44;5;6;0;0;0;0;0;0;0;0
16.01.2025;17:37;A111;1;7;71;4;5;2;2;1;0;0;0;0;0;0;0
16.01.2025;17:36;A111;1;11;63;1;84;5;10;0;0;0;0;0;0;0;0
16.01.2025;17:35;A111;1;2;6;2;52;7;12;0;0;0;0;0;0;0;0
16.01.2025;17:34;A111;1;8;15;6;46;5;14;1;0;0;0;0;0;0;0
16.01.2025;17:33;A111;1;12;37;1;96;12;11;0;0;0;0;0;0;0;0
16.01.2025;17:32;A111;1;3;85;5;68;7;7;0;0;0;0;0;0;0;0
16.01.2025;17:31;A111;1;3;25;6;59;4;66;1;1;0;0;0;0;0;0
16.01.2025;17:30;A111;1;1;1;1;85;13;37;1;1;0;0;0;0;0;0
16.01.2025;17:29;A111;1;5;5;5;76;13;28;1;1;0;0;0;0;0;0
16.01.2025;17:28;A111;1;5;55;3;66;6;78;0;0;0;0;0;0;0;0
16.01.2025;17:27;A111;1;7;71;1;10;7;50;0;0;0;0;0;0;0;0
16.01.2025;17:26;A111;1;5;9;2;8;7;65;1;0;0;0;0;0;0;0
16.01.2025;17:25;A111;1;2;2;1;3;6;71;0;0;0;0;0;0;0;0
16.01.2025;17:24;A111;1;6;7;2;96;12;18;0;0;0;0;0;0;0;0
16.01.2025;17:23;A111;1;1;3;4;67;11;15;0;0;0;0;0;0;0;0
16.01.2025;17:22;A111;1;4;8;4;41;3;54;0;0;0;0;0;0;0;0
16.01.2025;17:21;A111;1;4;5;2;93;9;15;1;1;0;0;0;0;0;0
16.01.2025;17:20;A111;1;6;11;1;65;9;48;0;0;0;0;0;0;0;0
16.01.2025;17:19;A111;1;4;5;8;57;6;54;0;0;0;0;0;0;0;0
16.01.2025;17:18;A111;1;7;11;1;73;14;31;0;0;0;0;0;0;0;0
16.01.2025;17:17;A111;1;2;5;3;3;7;58;0;0;0;0;0;0;0;0
16.01.2025;17:16;A111;1;8;31;6;25;6;36;2;2;0;0;0;0;0;0
16.01.2025;17:15;A111;1;9;21;0;100;18;43;1;1;0;0;0;0;0;0
16.01.2025;17:14;A111;1;6;66;7;19;9;67;1;1;0;0;0;0;0;0
16.01.2025;17:13;A111;1;13;80;4;19;2;6;0;0;0;0;0;0;0;0
16.01.2025;17:12;A111;1;9;29;1;92;11;23;0;0;0;0;0;0;0;0
16.01.2025;17:11;A111;1;0;0;2;65;14;31;0;0;0;0;0;0;0;0
16.01.2025;17:10;A111;1;7;67;5;8;6;71;0;0;0;0;0;0;0;0
16.01.2025;17:09;A111;1;9;38;0;0;18;27;1;1;0;0;0;0;0;0
16.01.2025;17:08;A111;1;2;4;4;63;9;10;1;0;0;0;0;0;0;0
16.01.2025;17:07;A111;1;6;22;7;43;1;1;0;0;0;0;0;0;0;0
16.01.2025;17:06;A111;1;3;35;4;81;7;10;0;0;0;0;0;0;0;0
16.01.2025;17:05;A111;1;9;15;0;99;6;8;0;88;0;0;0;0;0;0
16.01.2025;17:04;A111;1;12;66;3;31;3;44;1;84;0;0;0;0;0;0
16.01.2025;17:03;A111;1;11;59;3;8;12;23;0;0;0;0;0;0;0;0
16.01.2025;17:02;A111;1;1;30;0;53;5;12;0;0;0;0;0;0;0;0
16.01.2025;17:01;A111;1;4;86;8;45;6;11;0;0;0;0;0;0;0;0
16.01.2025;17:00;A111;1;10;14;1;73;12;26;0;0;0;0;0;0;0;0
16.01.2025;16:59;A111;1;2;6;5;58;6;33;0;0;0;0;0;0;0;0
16.01.2025;16:58;A111;1;8;13;3;75;7;64;0;0;0;0;0;0;0;0
16.01.2025;16:57;A111;1;9;17;0;0;10;41;0;0;0;0;0;0;0;0
16.01.2025;16:56;A111;1;0;100;2;50;7;11;0;0;0;0;0;0;0;0
16.01.2025;16:55;A111;1;8;66;2;88;12;25;2;1;0;0;0;0;0;0
16.01.2025;16:54;A111;1;6;69;5;27;8;23;0;0;0;0;0;0;0;0
16.01.2025;16:53;A111;1;3;89;3;53;8;58;0;0;0;0;0;0;0;0
16.01.2025;16:52;A111;1;8;77;5;38;3;63;0;0;0;0;0;0;0;0
16.01.2025;16:51;A111;1;8;71;2;86;9;27;1;1;0;0;0;0;0;0
16.01.2025;16:50;A111;1;5;84;8;18;7;37;2;42;0;0;0;0;0;0
16.01.2025;16:49;A111;1;6;85;3;37;8;37;1;0;0;0;0;0;0;0
16.01.2025;16:48;A111;1;8;75;1;1;19;28;0;0;0;0;0;0;0;0
16.01.2025;16:47;A111;1;2;6;6;38;3;90;0;0;0;0;0;0;0;0
16.01.2025;16:46;A111;1;7;83;9;63;4;79;0;0;0;0;0;0;0;0
16.01.2025;16:45;A111;1;8;55;2;93;13;37;1;1;0;0;0;0;0;0
16.01.2025;16:44;A111;1;2;5;14;60;8;50;1;1;0;0;0;0;0;0
16.01.2025;16:43;A111;1;9;50;2;70;6;52;0;0;0;0;0;0;0;0
16.01.2025;16:42;A111;1;7;76;0;0;8;65;0;0;0;0;0;0;0;0
16.01.2025;16:41;A111;1;8;20;5;75;6;35;0;0;0;0;0;0;0;0
16.01.2025;16:40;A111;1;9;47;9;37;4;42;0;0;0;0;0;0;0;0
16.01.2025;16:39;A111;1;6;57;1;95;5;4;0;0;0;0;0;0;0;0
16.01.2025;16:38;A111;1;4;73;10;69;8;9;1;1;0;0;0;0;0;0
16.01.2025;16:37;A111;1;8;57;5;52;5;52;0;0;0;0;0;0;0;0
16.01.2025;16:36;A111;1;5;47;2;7;5;21;0;0;0;0;0;0;0;0
16.01.2025;16:35;A111;1;2;8;1;17;6;20;0;0;0;0;0;0;0;0
16.01.2025;16:34;A111;1;5;10;7;16;6;76;0;0;0;0;0;0;0;0
16.01.2025;16:33;A111;1;3;5;1;2;5;20;1;69;0;0;0;0;0;0
16.01.2025;16:32;A111;1;2;4;0;60;11;60;0;0;0;0;0;0;0;0
16.01.2025;16:31;A111;1;10;70;5;6;7;68;0;0;0;0;0;0;0;0
16.01.2025;16:30;A111;1;10;50;3;4;8;10;1;0;0;0;0;0;0;0
16.01.2025;16:29;A111;1;3;6;1;93;12;13;0;0;0;0;0;0;0;0
16.01.2025;16:28;A111;1;4;52;3;64;5;57;0;0;0;0;0;0;0;0
16.01.2025;16:27;A111;1;12;47;1;77;6;31;0;0;0;0;0;0;0;0
16.01.2025;16:26;A111;1;6;79;3;33;6;8;0;0;0;0;0;0;0;0
16.01.2025;16:25;A111;1;7;76;3;3;4;37;0;0;0;0;0;0;0;0
16.01.2025;16:24;A111;1;9;68;1;96;12;25;0;0;0;0;0;0;0;0
16.01.2025;16:23;A111;1;3;5;5;45;7;79;0;0;0;0;0;0;0;0
16.01.2025;16:22;A111;1;8;54;2;50;12;63;0;0;0;0;0;0;0;0
16.01.2025;16:21;A111;1;5;37;4;11;7;35;0;0;0;0;0;0;0;0
